c1,1,sunny,breakfast
c2,1,rainy,breakfast
c3,1,snowy,breakfast
c4,1,cloudy,breakfast
c5,1,sunny,lunch
c6,1,rainy,lunch
c7,1,snowy,lunch
c8,1,cloudy,lunch
c9,1,sunny,dinner
c10,1,rainy,dinner
c11,1,snowy,dinner
c12,1,cloudy,dinner
c13,2,sunny,breakfast
c14,2,rainy,breakfast
c15,2,snowy,breakfast
c16,2,cloudy,breakfast
c17,2,sunny,lunch
c18,2,rainy,lunch
c19,2,snowy,lunch
c20,2,cloudy,lunch
c21,2,sunny,dinner
c22,2,rainy,dinner
c23,2,snowy,dinner
c24,2,cloudy,dinner
c25,3,sunny,breakfast
c26,3,rainy,breakfast
c27,3,snowy,breakfast
c28,3,cloudy,breakfast
c29,3,sunny,lunch
c30,3,rainy,lunch
c31,3,snowy,lunch
c32,3,cloudy,lunch
c33,3,sunny,dinner
c34,3,rainy,dinner
c35,3,snowy,dinner
c36,3,cloudy,dinner
c37,4,sunny,breakfast
c38,4,rainy,breakfast
c39,4,snowy,breakfast
c40,4,cloudy,breakfast
c41,4,sunny,lunch
c42,4,rainy,lunch
c43,4,snowy,lunch
c44,4,cloudy,lunch
c45,4,sunny,dinner
c46,4,rainy,dinner
c47,4,snowy,dinner
c48,4,cloudy,dinner
c49,5,sunny,breakfast
c50,5,rainy,breakfast
c51,5,snowy,breakfast
c52,5,cloudy,breakfast
c53,5,sunny,lunch
c54,5,rainy,lunch
c55,5,snowy,lunch
c56,5,cloudy,lunch
c57,5,sunny,dinner
c58,5,rainy,dinner
c59,5,sunny,dinner
c60,5,rainy,dinner
c61,6,snowy,breakfast
c62,6,cloudy,breakfast
c63,6,sunny,breakfast
c64,6,rainy,breakfast
c65,6,snowy,lunch
c66,6,cloudy,lunch
c67,6,sunny,lunch
c68,6,rainy,lunch
c69,6,sunny,dinner
c70,6,rainy,dinner
c71,6,snowy,dinner
c72,6,cloudy,dinner
c73,7,sunny,breakfast
c74,7,rainy,breakfast
c75,7,snowy,breakfast
c76,7,cloudy,breakfast
c77,7,sunny,lunch
c78,7,rainy,lunch
c79,7,sunny,lunch
c80,7,rainy,lunch
c81,7,snowy,dinner
c82,7,cloudy,dinner
c83,7,sunny,dinner
c84,7,rainy,dinner